"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\draw_over_it\lib\components\custom_checkbox.dart", "Dart", 38, 1, 4, 43
"d:\Flutterrrr\FlutterProjects\draw_over_it\lib\components\menu_button_color.dart", "Dart", 106, 1, 4, 111
"d:\Flutterrrr\FlutterProjects\draw_over_it\lib\components\menu_button_width.dart", "Dart", 77, 1, 4, 82
"d:\Flutterrrr\FlutterProjects\draw_over_it\lib\components\panel_icon.dart", "Dart", 30, 1, 3, 34
"d:\Flutterrrr\FlutterProjects\draw_over_it\lib\main.dart", "Dart", 45, 1, 11, 57
"d:\Flutterrrr\FlutterProjects\draw_over_it\lib\pages\home.dart", "Dart", 928, 34, 59, 1021
"d:\Flutterrrr\FlutterProjects\draw_over_it\lib\utils\custom_colors.dart", "Dart", 8, 0, 2, 10
"d:\Flutterrrr\FlutterProjects\draw_over_it\lib\utils\custom_icons_icons.dart", "Dart", 20, 15, 4, 39
"Total", "-", 1252, 54, 91, 1397
